	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d	Free 2.c3d
	RSHO_Angle	RELB_Angle	RWRI_Angle	RHIP_Angle	RKNEE_Angle	RANK_Angle	TORSO_Angle	RSHO_Velocity	RELB_Velocity	RWRI_Velocity	RHIP_Velocity	RKNEE_Velocity	TORSO_Velocity
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	X	X	X	X	X	X	X	X	X	X	X	X
91	95.56	3.86	6.01	-1.15	8.38	-31.81	-17.78	178.07	311.58	186.63	24.55	155.83	58.58
92	95.63	1.28	4.95	-1.27	7.65	-32.66	-18.02	150.40	273.39	185.11	21.44	146.28	47.27
93	95.72	-0.84	3.89	-1.37	6.96	-33.44	-18.19	124.65	232.54	181.03	17.94	136.11	32.82
94	95.81	-2.52	2.85	-1.45	6.33	-34.16	-18.30	103.06	191.57	174.22	14.20	125.45	15.75
95	95.90	-3.80	1.84	-1.52	5.75	-34.81	-18.32	86.49	152.70	165.41	10.42	114.40	-2.85
96	95.99	-4.74	0.89	-1.56	5.23	-35.38	-18.24	74.79	117.52	155.76	6.77	103.08	-21.71
97	96.08	-5.40	0.00	-1.58	4.75	-35.88	-18.09	67.39	86.94	146.17	3.43	91.59	-39.89
98	96.20	-5.83	-0.84	-1.59	4.34	-36.29	-17.85	63.71	61.30	136.83	0.54	80.01	-57.14
99	96.34	-6.09	-1.62	-1.59	3.98	-36.61	-17.53	63.03	40.59	127.37	-1.84	68.40	-73.41
100	96.51	-6.22	-2.35	-1.57	3.67	-36.86	-17.13	64.34	24.54	117.85	-3.67	56.83	-88.18
101	96.73	-6.26	-3.01	-1.55	3.42	-37.02	-16.67	66.55	12.69	109.11	-4.97	45.37	-100.65
